problem,sweep_family,beta_update,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std
deterministic,eta_rho_sweep,fogas_full,63,63,0,135.92791281294978,1.0,0.7755555555555556,0.3454066223554856,1.0,0.8095238095238095,0.3958308068477865,0.9271,0.6606095238095239,0.38662177638145306,0.9300000000000002,0.7144444444444445,0.4471406568688311
deterministic,main_ablation,fenchel_mirror,8,8,0,162.45605380525376,1.0,0.9,0.1343768687577697,1.0,1.0,0.0,0.8994000000000001,0.7759749999999999,0.1560573864228889,0.9300000000000002,0.9300000000000002,0.0
deterministic,main_ablation,fogas_diag,169,169,0,166.24279177319065,1.0,0.7605325443786982,0.3408729346332903,1.0,0.757396449704142,0.4299311575420135,0.9272000000000001,0.6450059171597633,0.38480182773922145,0.9300000000000002,0.6553846153846155,0.48556300165007277
deterministic,main_ablation,fogas_full,1,1,0,148.37882796599297,1.0,1.0,0.0,1.0,1.0,0.0,0.9250999999999999,0.9250999999999999,0.0,0.9300000000000002,0.9300000000000002,0.0
deterministic,main_ablation,projected_gradient,56,56,0,168.11098459881032,1.0,0.6174999999999999,0.24971438229960388,1.0,1.0,0.0,0.9122999999999999,0.4828428571428572,0.2807779244476725,0.9300000000000002,0.9299999999999999,2.2405409932236297e-16
deterministic,main_ablation,fenchel_br,1,1,0,169.99808132997714,0.94,0.94,0.0,1.0,1.0,0.0,0.8216000000000002,0.8216000000000002,0.0,0.9300000000000002,0.9300000000000002,0.0
stochastic,eta_rho_sweep,fogas_full,63,63,0,109.54949451184329,0.95,0.6195238095238096,0.3653695812127442,0.94,0.7266666666666665,0.39173723912353414,-0.0025999999999999812,-0.7499293650793654,0.7541194563237592,0.049300000000000094,-0.4166325396825398,0.8545215441214107
stochastic,main_ablation,fogas_full,1,1,0,174.36327732994687,0.95,0.95,0.0,0.94,0.94,0.0,-0.10170000000000011,-0.10170000000000011,0.0,0.049300000000000094,0.049300000000000094,0.0
stochastic,main_ablation,fogas_diag,195,195,0,163.49605337480554,0.94,0.6845128205128205,0.317508249084727,0.94,0.8045128205128204,0.3040688737595915,-0.01849999999999998,-0.6171766666666669,0.6700313815213196,0.049300000000000094,-0.25547205128205136,0.682073013256863
stochastic,main_ablation,projected_gradient,56,56,0,173.6521888845725,0.9,0.5080357142857144,0.2634969010882612,0.94,0.5928571428571427,0.3936482707176052,-0.21060000000000012,-1.0513892857142861,0.5756457509704991,0.049300000000000094,-0.6980714285714286,0.8468161306734958
stochastic,main_ablation,fenchel_br,1,1,0,169.3175305109471,0.89,0.89,0.0,0.94,0.94,0.0,-0.27510000000000007,-0.27510000000000007,0.0,0.049300000000000094,0.049300000000000094,0.0
stochastic,main_ablation,fenchel_mirror,8,8,0,165.40445615300996,0.89,0.875,0.013093073414159554,0.94,0.94,0.0,-0.2259500000000001,-0.28118125000000016,0.023040615342415305,0.049300000000000094,0.049300000000000094,0.0
