num_centers,feature_dim,sigma,status,error,elapsed_seconds,greedy_avg_reward,greedy_success_rate
72,300,0.11111111111111122,ok,,6.975001822924241,-0.9948462247926804,0.0
71,296,0.11129582783841938,ok,,6.767558966996148,-0.9948462247926804,0.0
70,292,0.11148582218650777,ok,,6.759685331955552,-0.9948462247926804,0.0
69,288,0.11187139445249547,ok,,6.820740096038207,-0.9948462247926804,0.0
68,284,0.11188257508986871,ok,,6.710716248955578,-0.9948462247926804,0.0
67,280,0.11208983406923645,ok,,6.973917784867808,-0.9948462247926804,0.0
66,276,0.11230337362373646,ok,,6.658407175913453,-0.9948462247926804,0.0
65,272,0.11312878613247697,ok,,6.593509034020826,-0.9948462247926804,0.0
64,268,0.11341360750216906,ok,,6.68182361102663,-0.9948462247926804,0.0
63,264,0.11418069044730592,ok,,6.533165686996654,-0.9948462247926804,0.0
62,260,0.11423019979143811,ok,,6.600420832168311,-0.9948462247926804,0.0
61,256,0.11460183581966997,ok,,6.42676603817381,-0.9948462247926804,0.0
60,252,0.11471973225207747,ok,,6.641350110992789,-0.9948462247926804,0.0
59,248,0.1153870241643098,ok,,6.693601418985054,-0.9948462247926804,0.0
58,244,0.11489754686038746,ok,,6.5835851489100605,-0.9948462247926804,0.0
57,240,0.11547652231577737,ok,,6.513342790072784,-0.9948462247926804,0.0
56,236,0.11671820202347065,ok,,6.420890452107415,-0.9948462247926804,0.0
55,232,0.1163506220489767,ok,,6.498240276938304,-0.9948462247926804,0.0
54,228,0.11966882418131294,ok,,6.340163385961205,-0.9948462247926804,0.0
53,224,0.11671434469207853,ok,,6.42236411687918,-0.9948462247926804,0.0
52,220,0.11955252247478333,ok,,6.2400289019569755,-0.9948462247926804,0.0
51,216,0.12085925696855979,ok,,6.242887533036992,-0.9948462247926804,0.0
50,212,0.12006393219210645,ok,,6.3318564421497285,-0.9948462247926804,0.0
49,208,0.1222832332683667,ok,,6.018940177047625,-0.9948462247926804,0.0
48,204,0.12344448080382046,ok,,6.067033756058663,-0.9948462247926804,0.0
47,200,0.12074920611443314,ok,,5.708886473905295,-0.9948462247926804,0.0
46,196,0.12438125011730153,ok,,5.731194383930415,-0.9948462247926804,0.0
45,192,0.12927890683835067,ok,,5.988949321908876,-0.9948462247926804,0.0
44,188,0.13251948245530906,ok,,5.628207488916814,-0.9948462247926804,0.0
43,184,0.12986136621109898,ok,,6.298359667183831,-0.9948462247926804,0.0
42,180,0.12950016706174428,ok,,6.055061534047127,-0.9948462247926804,0.0
41,176,0.1294770423851651,ok,,6.205895288148895,-0.9948462247926804,0.0
40,172,0.1383397871922766,ok,,5.855760641861707,-0.9948462247926804,0.0
39,168,0.1386463922938201,ok,,6.011001033009961,-0.9948462247926804,0.0
38,164,0.14055815400240315,ok,,5.7562288348563015,-0.9948462247926804,0.0
37,160,0.14067634627416642,ok,,5.5052961660549045,-0.9948462247926804,0.0
36,156,0.142841398270237,ok,,5.632948443992063,-0.9948462247926804,0.0
35,152,0.1467885924179634,ok,,5.486841224133968,-0.9948462247926804,0.0
34,148,0.14129354371088076,ok,,5.630819719983265,-0.9948462247926804,0.0
33,144,0.15187603773286434,ok,,5.475912519032136,-0.9948462247926804,0.0
32,140,0.15260754880915878,ok,,5.497116461861879,-0.9948462247926804,0.0
31,136,0.15742248964941508,ok,,5.883284563897178,-0.9948462247926804,0.0
30,132,0.16273200091268197,ok,,5.471894490066916,-0.9948462247926804,0.0
29,128,0.15930919263063942,ok,,5.528470451943576,-0.9948462247926804,0.0
28,124,0.16033442967420136,ok,,5.630613140994683,-0.9948462247926804,0.0
27,120,0.16567009865627672,ok,,5.475453230086714,-0.9948462247926804,0.0
26,116,0.1708944104630864,ok,,5.571629957063124,-0.9948462247926804,0.0
25,112,0.1803688526083924,ok,,5.499853492947295,-0.9948462247926804,0.0
24,108,0.18608020568858985,ok,,5.4393061741720885,-0.9948462247926804,0.0
23,104,0.20521484700871015,ok,,5.599634638987482,-0.9948462247926804,0.0
22,100,0.2034615461384788,ok,,5.455963810905814,-0.9948462247926804,0.0
21,96,0.21291082564590585,ok,,5.589588989969343,-0.9948462247926804,0.0
20,92,0.2155662953801803,ok,,5.442065114853904,-0.9948462247926804,0.0
