beta,feature_coverage,greedy_avg_reward,greedy_success_rate,solver_avg_reward,solver_success_rate
1e-08,2.6638809675672475,-0.82274123760695,1.0,-0.9500320923116091,0.93
1e-07,2.6638572879896527,-0.82274123760695,1.0,-0.9500320923116091,0.93
1e-06,2.6636205389179146,-0.82274123760695,1.0,-0.9423880200621548,0.92
1e-05,2.661257707083471,-0.82274123760695,1.0,-0.944009260470549,0.92
0.0001,2.6380840321719825,-0.82274123760695,1.0,-0.9595622766375373,0.79
0.001,2.4428830077515826,-0.9948462247926807,0.0,-0.9948462247926807,0.0
0.01,1.6178196487891283,-0.9948462247926807,0.0,-0.9948462247926807,0.0
0.1,0.45608299786925244,-0.9948462247926807,0.0,-0.9948462247926807,0.0
1.0,0.05700176901278154,-0.9948462247926807,0.0,-0.9948462247926807,0.0
10.0,0.005848899067529524,-0.9948462247926807,0.0,-0.9948462247926807,0.0
