alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,bandwidth_scale,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,fisher_damping,cg_iters,cg_tol,state_weight_update,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0003,0.0001,0.1,4000,0.3,40,3e-06,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,2960.1261923590064,0.22,-0.8282699047647065,-1.422157369204642,4.011063682866582,0.97,-0.2200333246964592,2.9157462322735865,0.04949037935315102,-0.8827593756236976,74.37459986952035,-14.435722060329672,0.16972416455446093,890.4805213266761,89.8204167038488,156.3566397019113,0.06843859906477676,3231
0.0003,3e-05,0.1,2000,1.0,20,3e-06,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,836.6785973779915,0.19,-0.8550896992818867,-1.5125239115678193,4.096901908015536,0.97,-0.2200333246964592,2.86507330855302,0.12488747868887486,-3.7485124024904195,-284.6432988595433,43.73535078678875,-2.0983555393069953,1087.7347706856526,107.16738497006467,201.54060541959188,0.033944675592699175,1290
0.001,0.0003,0.1,1000,1.0,40,1e-07,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,176.8146495979745,0.94,-0.2176379075640539,2.915779435338692,0.15653825890178086,0.94,-0.2176379075640539,2.91643180032326,0.15613854713010442,298.4923854992189,1380.007731730212,71.76664390930416,300.7336451793385,6650.977356987431,0.46813868561142263,426.17448758923985,0.8558917211707873,9817
0.001,0.0001,0.1,1000,0.1,20,1e-05,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,341.08495266200043,0.51,-0.6919150377188933,-0.1740433227813536,2.610574954612192,0.94,-0.21027400066196392,2.9084324204855037,0.08522966429669918,9.959569694348575,-47.83806960643742,20.801425717109332,12.561937321429188,734.8165088894705,16.76219302145909,41.16447347808896,0.11874222386318543,8237
0.001,0.0003,0.05,2000,0.1,40,1e-05,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,620.4572412960115,0.49,-0.7294331357003689,-0.5057694524486379,2.9547969742160958,0.94,-0.2176379075640539,2.9161238498679545,0.12371681903985514,-4.966859234496226,-181.37869100180663,14.267399353505567,-3.8585280759152907,511.7622340228189,103.70472055503795,143.87964178848094,0.1762946251304499,9476
0.001,0.0001,0.05,4000,1.0,40,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,1457.232339876995,0.47,-0.7036613127441125,-0.6432388584292779,3.1880471506834276,0.94,-0.21027400066196392,2.946910082772577,0.023584776146446527,-6.957128098490168,-32.54329120480534,-8.980085685082619,-5.585427757518405,179.18685253533167,102.03624369886386,141.0487658254436,0.03705333783607524,8533
0.001,0.0001,0.01,4000,1.0,40,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,1490.1402066989976,0.47,-0.7036613127441125,-0.6409787712495875,3.1852301762629303,0.94,-0.21027400066196392,2.946910082772577,0.023584776146446527,-6.946062709780735,-32.283885690336035,-9.045883743519324,-5.581673597466858,178.8186642277771,102.00979051210975,141.05870510864088,0.03704539235828044,8049
0.001,0.0001,0.1,4000,1.0,40,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,1515.5518777990073,0.47,-0.7036613127441125,-0.6461094302608045,3.1916173471740015,0.94,-0.21027400066196392,2.946910082772577,0.023584776146446527,-6.9709882625792545,-32.86282658099523,-8.898440978766583,-5.5901456300845735,179.64651388219613,102.06759342446018,141.03594557335973,0.03706308268441703,9015
0.0003,0.0003,0.1,4000,1.0,40,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,1307.021726179999,0.41,-0.7346742767669778,-0.6323344833977576,2.9658406302032514,0.94,-0.21027400066196392,2.9426095625450612,0.03047462008850647,-5.210602197082598,31.1473352822122,-10.846365383934526,-4.222705188247172,155.59859483095164,106.01823096798667,138.40298089529446,0.024617561608240583,4546
0.003,0.0003,0.01,4000,0.1,20,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,913.1796665230067,0.38,-0.7976888998175802,-1.6053384770318377,3.898129433274425,0.94,-0.21027400066196392,2.908432420485512,0.08522966429668254,0.24167181035523944,0.9195489808310451,1.1348907988185983,0.04713839541787217,39.53223119435382,6.034313483791914,10.523165153603935,0.037064725396813054,14991
0.0003,0.0001,0.1,2000,1.0,40,1e-05,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,816.1993087320006,0.37,-0.7792715468284434,-1.1762134962206665,3.59781703621605,0.94,-0.21027400066196392,2.908432420485512,0.08522966429668254,-4.498808375664989,-171.29796378057736,17.286374262072528,-2.9287030191375125,591.8468568602028,84.79985424531289,70.95100015167685,0.09018276804880863,2752
0.0003,0.0003,0.1,2000,1.0,40,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,669.3389210619935,0.33,-0.7942683223416271,-1.140595743445072,3.530515709960543,0.94,-0.21027400066196392,2.908432420485512,0.08522966429668254,-5.731415982491788,26.823864789209466,-9.787267457338315,-4.661088388038101,158.01107129295798,114.18005513498967,143.09277596037285,0.027112521148521855,4194
0.001,0.0003,0.01,2000,0.3,20,1e-05,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,762.2965035509988,0.33,-0.8067747503154628,-1.4819163032379365,3.7413605680467414,0.94,-0.21027400066196392,2.908432420485512,0.08522966429668254,3.237595760100726,-15.997972998885981,11.931409155881553,3.554171262526372,298.2042408085803,34.136437752947856,47.7295567431309,0.0660111096566459,9029
0.0003,3e-05,0.01,4000,0.3,40,3e-06,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,1454.4721463619935,0.33,-0.789284522001429,-1.2873189780814958,3.862413404897845,0.94,-0.2176379075640539,2.916445965450643,0.08603359648311197,22.47749904114236,106.87298562377181,4.304946378634638,25.912243303058276,1544.1992495208494,91.51535234460098,181.7835749163591,0.21337672671529695,532
0.001,0.0001,0.05,4000,0.1,40,1e-05,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,1585.2289582279918,0.32,-0.7936508851135029,-1.2224904007050499,3.6920500412130473,0.94,-0.21027400066196392,2.9426095625450612,0.03047462008850647,-1.0338086919131175,9.247701217124478,0.19236716761619885,-0.7792952524586614,293.06065450814015,20.87833095243105,44.904069905272195,0.07165632220396313,8394
0.001,0.0003,0.1,4000,0.3,40,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,3085.8907329810027,0.29,-0.8078515399413003,-1.2139936316807722,3.512382799400852,0.94,-0.21027400066196392,2.908432420485512,0.08522966429668254,-4.45140438755973,-28.420650855869667,1.3448232182573556,-4.21843547600635,101.98005211426636,79.35642999284298,96.13901063254488,0.04700654375393063,10693
0.001,0.0003,0.01,4000,0.1,40,1e-05,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,981.2412994469923,0.29,-0.8094456896357766,-1.696495649079718,3.972400445708235,0.94,-0.21027400066196392,2.908432420485512,0.08522966429668254,0.03761195375224766,-14.086290732770456,-0.18093892158314742,0.009134907158471567,184.71552300724363,16.923079042757394,21.289382003076,0.026626796213905995,9144
